저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,CAMBRIDGE UNIV PRESS,0890-0604,1469-1760,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.5,134/210,0.638095238095238,가능 (스마트 팩토리/산업용 IoT 인프라로 환경 설정)
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,ELSEVIER,0377-0427,1879-1778,"MATHEMATICS, APPLIED",2.4,52/345,0.15072463768115943,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
STUDIES IN APPLIED MATHEMATICS,STUD APPL MATH,WILEY,0022-2526,1467-9590,"MATHEMATICS, APPLIED",2.4,52/345,0.15072463768115943,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,INT J BIFURCAT CHAOS,WORLD SCIENTIFIC PUBL CO PTE LTD,0218-1274,1793-6551,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.4,41/137,0.29927007299270075,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,IEEE T NUCL SCI,IEEE,0018-9499,1558-1578,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.4,215/369,0.5826558265582655,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE PHOTONICS TECHNOLOGY LETTERS,IEEE PHOTONIC TECH L,IEEE,1041-1135,1941-0174,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.4,215/369,0.5826558265582655,불일치 (양자/광학 물리 주력)
IET Image Processing,IET IMAGE PROCESS,WILEY,1751-9659,1751-9667,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.4,215/369,0.5826558265582655,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
METHODS OF INFORMATION IN MEDICINE,METHOD INFORM MED,GEORG THIEME VERLAG KG,0026-1270,2511-705X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.4,162/266,0.6090225563909775,불일치 (의료/생명과학 주력)
CMC-Computers Materials & Continua,CMC-COMPUT MATER CON,TECH SCIENCE PRESS,1546-2218,1546-2226,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.4,162/266,0.6090225563909775,가능 (통신 시스템/알고리즘 기여도 어필)
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,SPRINGER,1387-2532,1573-7454,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.4,139/210,0.6619047619047619,가능 (세부 논문 방향에 따라 융합 포장 필요)
Analysis and Applications,ANAL APPL,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-5305,1793-6861,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (세부 논문 방향에 따라 융합 포장 필요)
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,DE GRUYTER POLAND SP Z O O,1536-1365,2169-0375,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (세부 논문 방향에 따라 융합 포장 필요)
COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,SPRINGER HEIDELBERG,2238-3603,1807-0302,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Boundary Value Problems,BOUND VALUE PROBL,SPRINGER,1687-2770,1687-2770,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (세부 논문 방향에 따라 융합 포장 필요)
Applied Numerical Mathematics,APPL NUMER MATH,ELSEVIER,0168-9274,1873-5460,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IMA JOURNAL OF NUMERICAL ANALYSIS,IMA J NUMER ANAL,OXFORD UNIV PRESS,0272-4979,1464-3642,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (세부 논문 방향에 따라 융합 포장 필요)
Nonlinear Analysis-Modelling and Control,NONLINEAR ANAL-MODEL,VILNIUS UNIV PRESS,1392-5113,2335-8963,"MATHEMATICS, APPLIED",2.3,54/345,0.1565217391304348,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
OPTIMIZATION AND ENGINEERING,OPTIM ENG,SPRINGER,1389-4420,1573-2924,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.3,43/137,0.31386861313868614,가능 (세부 논문 방향에 따라 융합 포장 필요)
EURASIP Journal on Image and Video Processing,EURASIP J IMAGE VIDE,SPRINGER,1687-5176,1687-5281,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,ASSOC COMPUTING MACHINERY,1550-4832,1550-4840,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,가능 (통신 시스템/알고리즘 기여도 어필)
JOURNAL OF ELECTROSTATICS,J ELECTROSTAT,ELSEVIER,0304-3886,1873-5738,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,가능 (세부 논문 방향에 따라 융합 포장 필요)
IET Power Electronics,IET POWER ELECTRON,WILEY,1755-4535,1755-4543,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,불일치 (배터리/전력망/에너지 하드웨어 주력)
Journal of Micro-Nanopatterning Materials and Metrology-JM3,J MICRO-NANOPATTERN,SPIE-SOC PHOTO-OPTICAL INSTRUMENTATION ENGINEERS,1932-5150,2708-8340,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IETE TECHNICAL REVIEW,IETE TECH REV,TAYLOR & FRANCIS LTD,0256-4602,0974-5971,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.3,221/369,0.5989159891598916,가능 (서베이/매거진 형식으로 작성)
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,SIAM J MATH ANAL,SIAM PUBLICATIONS,0036-1410,1095-7154,"MATHEMATICS, APPLIED",2.2,61/345,0.17681159420289855,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
IMA JOURNAL OF APPLIED MATHEMATICS,IMA J APPL MATH,OXFORD UNIV PRESS,0272-4960,1464-3634,"MATHEMATICS, APPLIED",2.2,61/345,0.17681159420289855,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,SIAM PUBLICATIONS,1536-0040,,"MATHEMATICS, APPLIED",2.2,61/345,0.17681159420289855,가능 (세부 논문 방향에 따라 융합 포장 필요)
Stochastics and Partial Differential Equations-Analysis and Computations,STOCH PARTIAL DIFFER,SPRINGER,2194-0401,2194-041X,"MATHEMATICS, APPLIED",2.2,61/345,0.17681159420289855,가능 (세부 논문 방향에 따라 융합 포장 필요)
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,ENVIRON ECOL STAT,SPRINGER,1352-8505,1573-3009,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.2,46/137,0.3357664233576642,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM-ASA Journal on Uncertainty Quantification,SIAM-ASA J UNCERTAIN,SIAM PUBLICATIONS,2166-2525,2166-2525,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.2,46/137,0.3357664233576642,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Causal Inference,J CAUSAL INFERENCE,DE GRUYTER POLAND SP Z O O,2193-3677,2193-3685,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.2,46/137,0.3357664233576642,가능 (세부 논문 방향에 따라 융합 포장 필요)
MULTISCALE MODELING & SIMULATION,MULTISCALE MODEL SIM,SIAM PUBLICATIONS,1540-3459,1540-3467,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.2,46/137,0.3357664233576642,가능 (세부 논문 방향에 따라 융합 포장 필요)
TRANSPORTATION RESEARCH RECORD,TRANSPORT RES REC,SAGE PUBLICATIONS INC,0361-1981,2169-4052,TRANSPORTATION SCIENCE & TECHNOLOGY,2.2,49/80,0.6125,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
JOURNAL OF ADVANCED TRANSPORTATION,J ADV TRANSPORT,WILEY,0197-6729,2042-3195,TRANSPORTATION SCIENCE & TECHNOLOGY,2.2,49/80,0.6125,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
NETWORKS & SPATIAL ECONOMICS,NETW SPAT ECON,SPRINGER,1566-113X,1572-9427,TRANSPORTATION SCIENCE & TECHNOLOGY,2.2,49/80,0.6125,적합
JOURNAL OF ELECTRONIC PACKAGING,J ELECTRON PACKAGING,ASME,1043-7398,1528-9044,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
EURASIP Journal on Advances in Signal Processing,EURASIP J ADV SIG PR,SPRINGER,1687-6180,1687-6180,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
SOLDERING & SURFACE MOUNT TECHNOLOGY,SOLDER SURF MT TECH,EMERALD GROUP PUBLISHING LTD,0954-0911,1758-6836,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
MICROELECTRONICS JOURNAL,MICROELECTRON J,ELSEVIER SCI LTD,0959-8324,1879-2391,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE SPECTRUM,IEEE SPECTRUM,IEEE,0018-9235,1939-9340,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
APPLIED COMPUTATIONAL ELECTROMAGNETICS SOCIETY JOURNAL,APPL COMPUT ELECTROM,RIVER PUBLISHERS,1054-4887,1943-5711,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.2,229/369,0.6205962059620597,가능 (세부 논문 방향에 따라 융합 포장 필요)
IT Professional,IT PROF,IEEE COMPUTER SOC,1520-9202,1941-045X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.2,167/266,0.6278195488721805,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,TAYLOR & FRANCIS INC,1091-9392,1532-7744,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.2,167/266,0.6278195488721805,가능 (통신 시스템/알고리즘 기여도 어필)
INFOR,INFOR,TAYLOR & FRANCIS INC,0315-5986,1916-0615,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.2,167/266,0.6278195488721805,가능 (세부 논문 방향에 따라 융합 포장 필요)
Annals of Telecommunications,ANN TELECOMMUN,SPRINGER INT PUBL AG,0003-4347,1958-9395,TELECOMMUNICATIONS,2.2,88/127,0.6929133858267716,적합
TELECOMMUNICATION SYSTEMS,TELECOMMUN SYST,SPRINGER,1018-4864,1572-9451,TELECOMMUNICATIONS,2.2,88/127,0.6929133858267716,적합
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,CALC VAR PARTIAL DIF,SPRINGER HEIDELBERG,0944-2669,1432-0835,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (세부 논문 방향에 따라 융합 포장 필요)
NUMERISCHE MATHEMATIK,NUMER MATH,SPRINGER HEIDELBERG,0029-599X,0945-3245,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INVERSE PROBLEMS,INVERSE PROBL,IOP Publishing Ltd,0266-5611,1361-6420,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (세부 논문 방향에 따라 융합 포장 필요)
MATHEMATICAL PROGRAMMING,MATH PROGRAM,SPRINGER HEIDELBERG,0025-5610,1436-4646,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF CRYPTOLOGY,J CRYPTOL,SPRINGER,0933-2790,1432-1378,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (세부 논문 방향에 따라 융합 포장 필요)
OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,WILEY,0143-2087,1099-1514,"MATHEMATICS, APPLIED",2.1,65/345,0.18840579710144928,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ENGINEERING COMPUTATIONS,ENG COMPUTATION,EMERALD GROUP PUBLISHING LTD,0264-4401,1758-7077,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.1,51/137,0.3722627737226277,가능 (세부 논문 방향에 따라 융합 포장 필요)
MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,MATCH-COMMUN MATH CO,"UNIV KRAGUJEVAC, FAC SCIENCE",0340-6253,,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.1,51/137,0.3722627737226277,불일치 (의료/생명과학 주력)
International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,WILEY,2040-7939,2040-7947,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.1,51/137,0.3722627737226277,불일치 (의료/생명과학 주력)
Computational Economics,COMPUT ECON,SPRINGER,0927-7099,1572-9974,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.1,51/137,0.3722627737226277,가능 (세부 논문 방향에 따라 융합 포장 필요)
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,WILEY,0271-2091,1097-0363,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2.1,51/137,0.3722627737226277,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIGNAL PROCESSING-IMAGE COMMUNICATION,SIGNAL PROCESS-IMAGE,ELSEVIER,0923-5965,1879-2677,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,235/369,0.6368563685636857,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IET Electrical Systems in Transportation,IET ELECTR SYST TRAN,WILEY,2042-9738,2042-9746,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,235/369,0.6368563685636857,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,SEMICOND SCI TECH,IOP Publishing Ltd,0268-1242,1361-6641,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,235/369,0.6368563685636857,가능 (세부 논문 방향에 따라 융합 포장 필요)
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,Tubitak Scientific & Technological Research Council Turkey,1300-0632,1303-6203,"ENGINEERING, ELECTRICAL & ELECTRONIC",2.1,235/369,0.6368563685636857,가능 (통신 시스템/알고리즘 기여도 어필)
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,INT J AUTO TECH-KOR,KOREAN SOC AUTOMOTIVE ENGINEERS-KSAE,1229-9138,1976-3832,TRANSPORTATION SCIENCE & TECHNOLOGY,2.1,52/80,0.65,가능 (세부 논문 방향에 따라 융합 포장 필요)
International Journal of Engine Research,INT J ENGINE RES,SAGE PUBLICATIONS LTD,1468-0874,2041-3149,TRANSPORTATION SCIENCE & TECHNOLOGY,2.1,52/80,0.65,가능 (세부 논문 방향에 따라 융합 포장 필요)
TRANSPORTATION PLANNING AND TECHNOLOGY,TRANSPORT PLAN TECHN,TAYLOR & FRANCIS LTD,0308-1060,1029-0354,TRANSPORTATION SCIENCE & TECHNOLOGY,2.1,52/80,0.65,가능 (미시적 통신보다 거시적 교통량 개선 및 물류 인프라 효과 강조)
NEURAL COMPUTATION,NEURAL COMPUT,MIT PRESS,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.1,144/210,0.6857142857142857,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF HEURISTICS,J HEURISTICS,SPRINGER,1381-1231,1572-9397,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.1,144/210,0.6857142857142857,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,TAYLOR & FRANCIS LTD,0952-813X,1362-3079,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.1,144/210,0.6857142857142857,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Mathematical Sciences,MATH SCI,OICC Press,2008-1359,2251-7456,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Analysis & PDE,ANAL PDE,MATHEMATICAL SCIENCE PUBL,2157-5045,1948-206X,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Function Spaces,J FUNCT SPACE,WILEY,2314-8896,2314-8888,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (세부 논문 방향에 따라 융합 포장 필요)
SIAM JOURNAL ON APPLIED MATHEMATICS,SIAM J APPL MATH,SIAM PUBLICATIONS,0036-1399,1095-712X,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,ASSOC COMPUTING MACHINERY,0098-3500,1557-7295,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
MATHEMATICS OF COMPUTATION,MATH COMPUT,AMER MATHEMATICAL SOC,0025-5718,1088-6842,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
MATHEMATICAL METHODS IN THE APPLIED SCIENCES,MATH METHOD APPL SCI,WILEY,0170-4214,1099-1476,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
ESAIM-Mathematical Modelling and Numerical Analysis,ESAIM-MATH MODEL NUM,EDP SCIENCES S A,2822-7840,2804-7214,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
APPLIED MATHEMATICS AND OPTIMIZATION,APPL MATH OPT,SPRINGER,0095-4616,1432-0606,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,J NONLINEAR MATH PHY,SPRINGERNATURE,1402-9251,1776-0852,"MATHEMATICS, APPLIED",2,71/345,0.20579710144927535,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
SIAM Journal on Financial Mathematics,SIAM J FINANC MATH,SIAM PUBLICATIONS,1945-497X,1945-497X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,WILEY,0886-9383,1099-128X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF ENGINEERING MATHEMATICS,J ENG MATH,SPRINGER,0022-0833,1573-2703,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,INT J NUMER MODEL EL,WILEY,0894-3370,1099-1204,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,불일치 (반도체/전자 소자 하드웨어 주력)
NATURAL RESOURCE MODELING,NAT RESOUR MODEL,WILEY,0890-8575,1939-7445,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,가능 (세부 논문 방향에 따라 융합 포장 필요)
JOURNAL OF MATHEMATICAL CHEMISTRY,J MATH CHEM,SPRINGER,0259-9791,1572-8897,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",2,56/137,0.40875912408759124,불일치 (의료/생명과학 주력)
International Journal of Distributed Sensor Networks,INT J DISTRIB SENS N,WILEY,1550-1329,1550-1477,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2,174/266,0.6541353383458647,적합
IET Information Security,IET INFORM SECUR,WILEY,1751-8709,1751-8717,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2,174/266,0.6541353383458647,가능 (통신 시스템/알고리즘 기여도 어필)
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,MULTIDIM SYST SIGN P,SPRINGER,0923-6082,1573-0824,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE Design & Test,IEEE DES TEST,IEEE,2168-2356,2168-2364,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (세부 논문 방향에 따라 융합 포장 필요)
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,SPRINGER,0932-8092,1432-1769,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
IET Control Theory and Applications,IET CONTROL THEORY A,WILEY,1751-8644,1751-8652,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Journal of the Society for Information Display,J SOC INF DISPLAY,WILEY,1071-0922,1938-3657,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (통신 시스템/알고리즘 기여도 어필)
ETRI JOURNAL,ETRI J,WILEY,1225-6463,2233-7326,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (세부 논문 방향에 따라 융합 포장 필요)
IET Science Measurement & Technology,IET SCI MEAS TECHNOL,WILEY,1751-8822,1751-8830,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Electrical Engineering & Technology,J ELECTR ENG TECHNOL,SPRINGER SINGAPORE PTE LTD,1975-0102,2093-7423,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (세부 논문 방향에 따라 융합 포장 필요)
IEEE ELECTRICAL INSULATION MAGAZINE,IEEE ELECTR INSUL M,IEEE,0883-7554,1558-4402,"ENGINEERING, ELECTRICAL & ELECTRONIC",2,243/369,0.6585365853658537,가능 (서베이/매거진 형식으로 작성)
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,P I CIVIL ENG-TRANSP,EMERALD GROUP PUBLISHING LTD,0965-092X,1751-7710,TRANSPORTATION SCIENCE & TECHNOLOGY,2,56/80,0.7,불일치 (토목/건축 구조물 주력)
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,INDERSCIENCE ENTERPRISES LTD,1758-0366,1758-0374,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2,148/210,0.7047619047619048,불일치 (의료/생명과학 주력)
JOURNAL OF INEQUALITIES AND APPLICATIONS,J INEQUAL APPL,SPRINGER,1029-242X,1029-242X,"MATHEMATICS, APPLIED",1.9,82/345,0.23768115942028986,가능 (세부 논문 방향에 따라 융합 포장 필요)
Communications in Analysis and Mechanics,COMMUN ANAL MECH,AMER INST MATHEMATICAL SCIENCES-AIMS,,2836-3310,"MATHEMATICS, APPLIED",1.9,82/345,0.23768115942028986,불일치 (전산 역학/음향 물리 주력)
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,Z ANGEW MATH PHYS,SPRINGER INT PUBL AG,0044-2275,1420-9039,"MATHEMATICS, APPLIED",1.9,82/345,0.23768115942028986,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,INT J COMPUT MATH,TAYLOR & FRANCIS LTD,0020-7160,1029-0265,"MATHEMATICS, APPLIED",1.9,82/345,0.23768115942028986,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,J OPTIMIZ THEORY APP,SPRINGER/PLENUM PUBLISHERS,0022-3239,1573-2878,"MATHEMATICS, APPLIED",1.9,82/345,0.23768115942028986,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Systems Science & Complexity,J SYST SCI COMPLEX,SPRINGER HEIDELBERG,1009-6124,1559-7067,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.9,64/137,0.46715328467153283,가능 (세부 논문 방향에 따라 융합 포장 필요)
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STAT PSY,WILEY,0007-1102,2044-8317,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.9,64/137,0.46715328467153283,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Extremes,EXTREMES,SPRINGER,1386-1999,1572-915X,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.9,64/137,0.46715328467153283,가능 (세부 논문 방향에 따라 융합 포장 필요)
QUANTITATIVE FINANCE,QUANT FINANC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1469-7688,1469-7696,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.9,64/137,0.46715328467153283,가능 (세부 논문 방향에 따라 융합 포장 필요)
Journal of Complex Networks,J COMPLEX NETW,OXFORD UNIV PRESS,2051-1310,2051-1329,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",1.9,64/137,0.46715328467153283,적합
IEEE PERVASIVE COMPUTING,IEEE PERVAS COMPUT,IEEE COMPUTER SOC,1536-1268,1558-2590,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.9,178/266,0.6691729323308271,가능 (통신 시스템/알고리즘 기여도 어필)
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,WORLD SCIENTIFIC PUBL CO PTE LTD,0219-6220,1793-6845,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.9,178/266,0.6691729323308271,가능 (통신 시스템/알고리즘 기여도 어필)
Information Technology and Control,INF TECHNOL CONTROL,KAUNAS UNIV TECHNOLOGY,1392-124X,1392-124X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.9,178/266,0.6691729323308271,가능 (알고리즘의 수학적 모델링 및 증명 과정 강조)
Discover Computing,DISCOV COMPUT,SPRINGER,2948-2984,2948-2992,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.9,178/266,0.6691729323308271,가능 (통신 시스템/알고리즘 기여도 어필)
